fecha,TmaxC,TminC,Lluvia
1995-03-29,NA,NA,0
1995-03-30,NA,NA,0
1995-03-31,NA,NA,0
1995-04-01,NA,NA,0
1995-04-01,NA,NA,0
1995-04-02,NA,NA,0
1995-04-03,NA,NA,0
1995-04-04,NA,NA,0
1995-04-05,NA,NA,0
1995-04-06,NA,NA,0
1995-04-07,NA,NA,0
1995-04-08,NA,NA,0
1995-04-09,NA,NA,0
1995-04-10,NA,NA,0
1995-04-11,NA,NA,0
1995-04-12,NA,NA,0
1995-04-13,NA,NA,0
1995-04-14,NA,NA,0
1995-04-15,NA,NA,0
1995-04-16,NA,NA,0
1995-04-17,NA,NA,0
1995-04-18,NA,NA,0
1995-04-19,NA,NA,0
1995-04-20,NA,NA,45.5
1995-04-21,NA,NA,0
1995-04-22,NA,NA,0
1995-04-23,NA,NA,0
1995-04-24,NA,NA,0
1995-04-25,NA,NA,0
1995-04-26,NA,NA,0
1995-04-27,NA,NA,0
1995-04-28,NA,NA,0
1995-04-29,NA,NA,0
1995-04-30,NA,NA,0
1995-05-01,NA,NA,1.1
1995-06-01,NA,NA,0
1995-06-02,NA,NA,4.5
1995-06-03,NA,NA,1.8
1995-06-04,NA,NA,0
1995-06-05,NA,NA,0.2
1995-06-06,NA,NA,3.2
1995-06-07,NA,NA,0
1995-06-08,NA,NA,3.3
1995-06-09,NA,NA,2.5
1995-06-10,NA,NA,0
1995-06-11,NA,NA,1
1995-06-12,NA,NA,0
1995-06-13,NA,NA,0
1995-06-14,NA,NA,0
1995-06-15,NA,NA,39.1
1995-06-16,NA,NA,9.6
1995-06-17,NA,NA,10.4
1995-06-18,NA,NA,0
1995-06-19,NA,NA,7.8
1995-06-20,NA,NA,55.7
1995-06-21,NA,NA,6.5
1995-06-22,NA,NA,0
1995-06-23,NA,NA,0
1995-06-24,NA,NA,1.4
1995-06-25,NA,NA,8.8
1995-06-26,NA,NA,13.9
1995-06-27,NA,NA,0
1995-06-28,NA,NA,2.3
1995-06-29,NA,NA,0
1995-06-30,NA,NA,2.3
